shelter_cap_limit,avg_max_evacuated_total_pop_SES_1_0_0.3,avg_max_evacuated_total_pop_SES_1_0.7_1,avg_max_evacuated_total_pop_SES_2_0_0.3,avg_max_evacuated_total_pop_SES_2_0.7_1,avg_max_stranded_total_pop_SES_1_0_0.3,avg_max_stranded_total_pop_SES_1_0.7_1,avg_max_stranded_total_pop_SES_2_0_0.3,avg_max_stranded_total_pop_SES_2_0.7_1,avg_max_injured_total_pop_SES_1_0_0.3,avg_max_injured_total_pop_SES_1_0.7_1,avg_max_injured_total_pop_SES_2_0_0.3,avg_max_injured_total_pop_SES_2_0.7_1,avg_max_hospitalized_total_pop_SES_1_0_0.3,avg_max_hospitalized_total_pop_SES_1_0.7_1,avg_max_hospitalized_total_pop_SES_2_0_0.3,avg_max_hospitalized_total_pop_SES_2_0.7_1,avg_max_sheltered_total_pop_SES_1_0_0.3,avg_max_sheltered_total_pop_SES_1_0.7_1,avg_max_sheltered_total_pop_SES_2_0_0.3,avg_max_sheltered_total_pop_SES_2_0.7_1,avg_max_dead_total_pop_SES_1_0_0.3,avg_max_dead_total_pop_SES_1_0.7_1,avg_max_dead_total_pop_SES_2_0_0.3,avg_max_dead_total_pop_SES_2_0.7_1
0.5,0.0,0.04,0.08,0.0,0.04,0.08,0.12,0.0,0.04,0.04,0.08,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0
1.0,0.0,0.08,0.24,0.0,0.0,0.04,0.08,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0
1.5,0.0,0.04,0.08,0.0,0.04,0.12,0.12,0.08,0.0,0.08,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0
2.0,0.0,0.08,0.2,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2.5,0.04,0.08,0.08,0.0,0.08,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0
3.0,0.04,0.08,0.12,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.04,0.0,0.08,0.0,0.08,0.08,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.08,0.2,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0
4.5,0.04,0.0,0.12,0.0,0.08,0.12,0.12,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.08,0.04,0.0,0.0,0.0,0.0
5.0,0.0,0.08,0.16,0.0,0.08,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0
